"attire 
us  /əˈtaɪr/ 　uk  /əˈtaɪər/","n. 服裝，衣著
vt. 使穿衣；裝飾，打扮[（+in）]"
"code
us  /koʊd/　uk  /kəʊd/","n. 法典，規範，慣例；密碼
vt. 為…編碼；把…譯成電碼"
"concern
us  /kənˈsɝːn/　uk  /kənˈsɜːn/","n. 擔心，憂慮
vt.使~擔心；關係到，影響到"
"policy
us  /ˈpɑː.lə.si/　uk  /ˈpɒl.ə.si/","n.[C,U] 政策，方針；策略，手段；保單"
"comply
us  /kəmˈplaɪ/　uk  /kəmˈplaɪ/",vi. 順從；遵守，遵從[（+with）
"regulation
us  /ˌreɡ.jəˈleɪ.ʃən/　uk  /ˌreɡ.jəˈleɪ.ʃən/","n. 規章；規定；條例 [C]；管理；調整；校準 [U]
adj.標準的；正式的；一般的"
"exception
us  /ɪkˈsep.ʃən/ uk  /ɪkˈsep.ʃən/","n. 例外
n. 例外的人（或事物）[C][（+to）]
除外；除去，被除去[U]"
"adhere
us  /ədˈhɪr/　uk  /ədˈhɪər/",vi. 遵守；堅持[（+to）]；黏附，緊黏[（+to）]
"severely
uk  /sɪˈvɪə.li/　us  /səˈvɪr.li/",adv. 嚴格地；嚴厲地；嚴重地
"refrain
us  /rɪˈfreɪn/　uk  /rɪˈfreɪn/","vt.【古】克制，抑制
vi. 忍住；抑制，節制；戒除[（+from）]"
"permission
us  /pɚˈmɪʃ.ən/　uk  /pəˈmɪʃ.ən/",n.允許，許可，同意[U][+to-v]
"access
us  /ˈæk.ses/　uk  /ˈæk.ses/","n. 使用[U][（+to）]；通道，入口，門路
vt. 接近；存取(電腦資料等)"
"thoroughly
us  /ˈθɝː.ə.li/　uk  /ˈθʌr.ə.li/",adv.徹底地；完全地；非常，極其
"revise
us  /rɪˈvaɪz/　uk  /rɪˈvaɪz/","vt. 修訂；校訂；修改，修正
n.[C] 修訂；校訂；【印】再校樣，二校樣"
"approach
us  /əˈproʊtʃ/　uk  /əˈprəʊtʃ/","n. 處理方法；接近，靠近；即將達到[U][（+of）]；通道，入口[C][（+to）]
v. 接近，靠近"
"approval
us  /əˈpruː.vəl/　uk  /əˈpruː.vəl/",n.[U] 批准；認可；贊成；同意
"form
us  /fɔːrm/　uk  /fɔːm/","n. 形狀；外形[C][U]；種類，類型[C][（+of）]
v.形成；構成；塑造；構（詞）；造（句）；(物體）成形"
"immediately
us  /ɪˈmiː.di.ət.li/　uk  /ɪˈmiː.di.ət.li/",adv. 立即，即刻，馬上
"inspection
us  /ɪnˈspek.ʃən/　uk  /ɪnˈspek.ʃən/","n.[C,U]　檢查，檢驗；審視；視察"
"arrangement
us  /əˈreɪndʒ.mənt/　uk  /əˈreɪndʒ.mənt/",n. 安排，準備；布置
"procedure
us  /prəˈsiː.dʒɚ/　uk  /prəˈsiː.dʒər/",n.　程序，手續，步驟
"negative
us  /ˈneɡ.ə.t̬ɪv/　uk  /ˈneɡ.ə.tɪv/","adj. 負面的，消極的
vt. 否認；駁斥；否決；拒絕[H]"
"mandate
us  /ˈmæn.deɪt/　uk  /ˈmæn.deɪt/","vt. 授權給~；要求，命令
n. 授權，命令，,委任"
"effect
us  /əˈfekt/　uk  /ɪˈfekt/","n. 結果[C][U][（+on/upon）]；效果，效力；作用；影響[C][U][（+on/upon）]
vt. 造成；產生；招致；實現（目的)"
"drastically
us  /ˈdræs.tɪ.kəl.i/　uk  /ˈdræs.tɪ.kəl.i/",adv.大幅地；徹底地；激烈地
"according to
us  /əˈkɔːr.dɪŋ ˌtuː/　uk  /əˈkɔː.dɪŋ ˌtuː/",ph. 根據~，按照~；取決於
"enable
us  /ɪˈneɪ.bəl/　uk  /ɪˈneɪ.bəl/",vt.使能夠；使(某人)能夠(做某事)；使成為可能
"standard
us  /ˈstæn.dɚd/　uk  /ˈstæn.dəd/",n. 標準；規格；規範
"constant
us  /ˈkɑːn.stənt/　uk  /ˈkɒn.stənt/","adj.　持續的，不斷的，固定的
n.[C]【數】【物】常數，衡量；不變的事物"
"act
us  /ækt/　uk  /ækt/","n.[C] 行為；行動；【戲】（常大寫）幕；節目；法案，法令
vi. 做事，行動[（+on/for）]；起作用，見效[（+on/upon）]"
"compensation
us  /ˌkɑːm.penˈseɪ.ʃən/　uk  /ˌkɒm.penˈseɪ.ʃən/",n.[U] 補償，彌補；賠償[（+for/on）]；報酬，津貼，薪水
"ban
us  /bæn/　uk  /bæn/","n. 禁止；禁令[C][（+on/against）]；褫奪公權的判決（或公告）[C]
vt. 禁止，取締；【古】詛咒，將……逐出教門"
"obligation
 us  /ˌɑː.bləˈɡeɪ.ʃən/　uk  /ˌɒb.lɪˈɡeɪ.ʃən/",n.（道義上或法律上的）義務；責任[C][U][（+to）][+to-v]；恩惠[C][（+to/toward）]
"authorize
us  /ˈɑː.θɚ.aɪz/　uk  /ˈɔː.θər.aɪz/",vt. 授權給(某人)做某事；批准，認可；允許
"prohibit
us  /prəˈhɪb.ɪt/　uk  /prəˈhɪb.ɪt/",vt.（以法令，規定等）禁止[（+from）]；妨礙，阻止；使不可能[（+from）][+v-ing]
"abolish
us  /əˈbɑː.lɪʃ/　uk  /əˈbɒl.ɪʃ/",vt. 廢除，廢止(法律、制度等)；徹底破壞
"enforce
us  /ɪnˈfɔːrs/　uk  /ɪnˈfɔːs/",vt. 實施，執行(法律、制度)；強制；強迫[（+on/upon）]
"habit
us  /ˈhæb.ɪt/　uk  /ˈhæb.ɪt/",n. 習慣[C][U]；（動植物的）習性[C][U]
