"bend over
us  /bend/　uk  /bend/",phr. 彎腰,LC
by oneself,phr. 獨自，獨力,LC
date,n. 日期,LC
get used to,phr. 習慣～,LC
if it's okay with you,phr. 如果你可以接受的話,LC
in case of,phr. 萬一～,LC
in rows,phr. 一排排地,LC
item,n. 項目,LC
legal,adj. 法律的；合法的,LC
let go,phr. 釋放，放開,LC
ruler,n. 尺,LC
stop,v. 停止,LC
busy,adj. 忙碌的,RC
"curriculum
us  /kəˈrɪk.jə.ləm/　uk  /kəˈrɪk.jə.ləm/",n. 課程,RC
dress,n. 服裝；v. 穿衣,RC
enough,adj. 足夠的；n. 足夠充分的數量,RC
finish,v. 結束，完成,RC
have a problem (in) -ing,phr. 做～時有問題,RC
large,adj. 大的，寬大的,RC
law firm,phr. 法律事務所,RC
loudly,adv. 大聲地,RC
plus,prep. 加上～，還有～,RC
protect,v. 保護,RC
"seldom
us  /ˈsel.dəm/　uk  /ˈsel.dəm/",adv. 很少（做～）,RC
"theft
us  /θeft/　uk  /θeft/",n. 竊盜,RC
try,v. 試圖；努力,RC
witness,n. 目擊者；目擊證人,RC
write,v. 寫,RC
against the law,phr. 違法的,800 LC
by all means,phr. 務必；當然可以,800 LC
by mistake,phr. 搞錯地，不小心,800 LC
come to an end,phr. 結束,800 LC
company regulations,phr. 公司規定,800 LC
give directions,phr. 給予指示；指引方向,800 LC
hold up,phr. 支撐，支持,800 LC
if I'm not mistaken,phr. 如果我的了解沒錯的話,800 LC
in progress,phr. 進行中的,800 LC
keep in mind,phr. 記得，記在心上,800 LC
legal counsel,phr. 法律諮詢,800 LC
self-defense,n. 自我防禦；正當防衛,800 LC
"suspect
us  /səˈspekt/　uk  /səˈspekt/",n. 嫌疑犯；v. 懷疑,800 LC
take one's advice,phr. 接受某人的勸告,800 LC
to one's advantage,phr. 對某人有利地,800 LC
under control,phr. 在控制中,800 LC
"under the supervision of
us  /ˌsuː.pɚˈvɪʒ.ən/　uk  /ˌsuː.pəˈvɪʒ.ən/",phr. 在（某人）的監督下,800 LC
"abuse
us  /əˈbjuːz/　uk  /əˈbjuːz/",n. 濫用；v. 濫用,"800 Part 5, 6"
alert,v. 提醒（某人）注意；adj. 警覺的,"800 Part 5, 6"
"assessment
us  /əˈses.mənt/　uk  /əˈses.mənt/",n. 評價,"800 Part 5, 6"
at all times,phr. 隨時；永遠,"800 Part 5, 6"
"authorization
us  /ˌɑː.θɚ.əˈzeɪ.ʃən/　uk  /ˌɔː.θər.aɪˈzeɪ.ʃən/",n. 授權；委任,"800 Part 5, 6"
concerning,prep. 關於～,"800 Part 5, 6"
consideration,n. 考慮,"800 Part 5, 6"
defensive,adj. 防禦的；保護的；保衛的,"800 Part 5, 6"
"depiction
us  /dɪˈpɪk.ʃən/　uk  /dɪˈpɪk.ʃən/",n. 描寫，敘述,"800 Part 5, 6"
"disobedient
us  /ˌdɪs.əˈbiː.di.ənt/　uk  /ˌdɪs.əˈbiː.di.ənt/",adj. 不服從的；違抗命令的；違反的,"800 Part 5, 6"
"endure
us  /ɪnˈdʊr/　uk  /ɪnˈdʒʊər/",v. 忍耐，忍受,"800 Part 5, 6"
"exemplary
us  /ɪɡˈzem.plɚ.i/　uk  /ɪɡˈzem.plər.i/",adj. 模範的；懲戒性的；示範的,"800 Part 5, 6"
"ignore
us  /ɪɡˈnɔːr/　uk  /ɪɡˈnɔːr/",v. 不顧，不理會，忽視,"800 Part 5, 6"
illegal,adj. 違法的,"800 Part 5, 6"
"in accordance with
us  /əˈkɔːr.dəns/　uk  /əˈkɔː.dəns/",phr. 與～一致；依照～,"800 Part 5, 6"
"indecisive
us  /ˌɪn.dɪˈsaɪ.sɪv/　uk  /ˌɪn.dɪˈsaɪ.sɪv/",adj. 不明確的；優柔寡斷的,"800 Part 5, 6"
"justly
us  /ˈdʒʌst.li/　uk  /ˈdʒʌst.li/",adv. 正當地；應得地,"800 Part 5, 6"
"obey
 us  /oʊˈbeɪ/　uk  /əʊˈbeɪ/ /əˈbeɪ/",v. 服從；遵守,"800 Part 5, 6"
"observance
us  /əbˈzɝː.vəns/　uk  /əbˈzɜː.vəns/",n. 遵守,"800 Part 5, 6"
on-site,adj. 現場的；就地的,"800 Part 5, 6"
"penalty
us  /ˈpen.əl.ti/　uk  /ˈpen.əl.ti/",n. 處罰；罰款,"800 Part 5, 6"
pointed,adj. （說話或表現等）尖銳的、深刻的、中肯的,"800 Part 5, 6"
"precious
us  /ˈpreʃ.əs/　uk  /ˈpreʃ.əs/",adj. 貴重的,"800 Part 5, 6"
"principle
us  /ˈprɪn.sə.pəl/　uk  /ˈprɪn.sə.pəl/",n. 原理，原則,"800 Part 5, 6"
"punishment
us  /ˈpʌn.ɪʃ.mənt/　uk  /ˈpʌn.ɪʃ.mənt/",n. 處罰，刑罰,"800 Part 5, 6"
"regulate
us  /ˈreɡ.jə.leɪt/　uk  /ˈreɡ.jə.leɪt/",v. 規定，調節,"800 Part 5, 6"
"restricted area
us  /rɪˈstrɪk.t̬ɪd/　uk  /rɪˈstrɪk.tɪd/",phr. 限制區,"800 Part 5, 6"
"restriction
us  /rɪˈstrɪk.ʃən/　uk  /rɪˈstrɪk.ʃən/",n. 限制，限定,"800 Part 5, 6"
"safety inspection
us  /ɪnˈspek.ʃən/　uk  /ɪnˈspek.ʃən/",phr. 安全檢查,"800 Part 5, 6"
"suppress
us  /səˈpres/　uk  /səˈpres/",v. 鎮壓，阻止,"800 Part 5, 6"
"tensely
us  /ˈtens.li/　uk  /ˈtens.li/",adv. 繃緊地，緊張地,"800 Part 5, 6"
