"r?sum?
us  /r??zu?m/　uk  /r??zju?m/",n. 履歷表,核心單字
"opening
us  /?o?p.n??/　uk  /???.p?n.??/",n. . 空缺；職缺；開張；開始,核心單字
"applicant
us  /??p.l?.k?nt/　uk  /??p.l?.k?nt/",n. 申請者；應徵者,核心單字
"requirement
us  /r??kwa?r.m?nt/　uk  /r??kwa??.m?nt/",n. . 必要條件,核心單字
"meet
us  /mi?t/　uk  /mi?t/",v. . 滿足，符合(要求、條件等),核心單字
"qualified
us  /?kw??.l?.fa?d/　uk  /?kw?l.?.fa?d/",adj. 有資格的；勝任的,核心單字
"candidate
us  /?k?n.d?.de?t/　uk  /?k?n.d?.d?t/",n. 候選者；應徵者,核心單字
"confidence
us  /?k??n.f?.d?ns/　uk  /?k?n.f?.d?ns/",n. 信心，自信；信任,核心單字
"highly
us  /?ha?.li/　uk  /?ha?.li/",adv. . 很，非常,核心單字
"professional
us  /pr??fe?.?n.?l/　uk  /pr??fe?.?n.?l/",adj. 專業的，職業的；.n. 專家,核心單字
"interview
us  /??n.t??.vju?/　uk  /??n.t?.vju?/",n.；v. 面試,核心單字
"hire
us  /ha?r/　uk  /ha??r/",v. 僱用,核心單字
"training
us  /?tre?.n??/　uk  /?tre?.n??/",n. . 訓練,核心單字
"reference
us  /?ref.?.?ns/　uk  /?ref.?r.?ns/",n. 推薦信；參考,核心單字
"position
us  /p??z??.?n/　uk  /p??z??.?n/",n. 職位，位置；v. 放置,核心單字
"achievement
us  /??t?i?v.m?nt/　uk  /??t?i?v.m?nt/",n. . 成就，達成,核心單字
"impressed
us  /?m?pres/　uk  /?m?pres/",adj. 感到印象深刻的,核心單字
"excellent
us  /?ek.s?l.?nt/　uk  /?ek.s?l.?nt/",adj. 優秀的，傑出的,核心單字
"eligible
us  /?el.?.d??.b?l/　uk  /?el.?.d??.b?l/",adj. 有資格的；合適的,核心單字
"identify
us  /a??den.t??.fa?/　uk  /a??den.t?.fa?/",v. . 辨認；v.. 認出,核心單字
"associate
us  /??so?.?i.e?t/　uk  /??s??.si.e?t/",v. 使有關聯,核心單字
"condition
us  /k?n?d??.?n/　uk  /k?n?d??.?n/",n. . 條件,核心單字
"employment
us  /?m?pl??.m?nt/　uk  /?m?pl??.m?nt/",n. 僱用,核心單字
"lack
us  /l?k/　uk  /l?k/",n.；v. 缺乏,核心單字
"managerial
us  /?m?n.??d??r.i.?l/　uk  /?m?n.??d???.ri.?l/",adj. 管理的,核心單字
"diligent
us  /?d?l.?.d??nt/　uk  /?d?l.?.d??nt/",adj. 勤奮的,核心單字
"familiar
us  /f??m?l.i.j?/　uk  /f??m?l.i.?r/",adj. 熟悉的，親近的,核心單字
"proficiency
us  /pr??f??.?n.si/　uk  /pr??f??.?n.si/",n. 熟練， 精通,核心單字
"prospective
us  /pr??spek.t?v/　uk  /pr??spek.t?v/",adj. 預期的，未來的,核心單字
"appeal
us  /??pi?l/　uk  /??pi?l/",v. 呼籲；有吸引力,核心單字
"specialize
us  /?spe?.?.la?z/　uk  /?spe?.?l.a?z/",v. 專攻，專門從事,核心單字
"apprehensive
us  /??p.r??hen.s?v/　uk  /??p.r??hen.s?v/",adj. 擔心的，憂慮的,核心單字
"consultant
us  /k?n?s?l.t?nt/　uk  /k?n?s?l.t?nt/",n. . 顧問,核心單字
"entitle
us  /?n?ta?.t??l/　uk  /?n?ta?.t?l/",v. . 給 (某人) 權利,核心單字
"degree
us  /d???ri?/　uk  /d???ri?/",n. . 學位,核心單字
"payroll
us  /?pe?.ro?l/　uk  /?pe?.r??l/",n. . 薪水帳冊，發薪名單,核心單字
"recruit
us  /r??kru?t/　uk  /r??kru?t/",v. 招募 (新進人員等),核心單字
"certification
us  /?s???.t??.f??ke?.??n/　uk  /?s??.t?.f??ke?.??n/",n.  (資格) 證明,核心單字
"occupation
us  /???.kj??pe?.??n/　uk  /??k.j??pe?.??n/",n. . 職業,核心單字
"wage
us  /we?d?/　uk  /we?d?/",n. 工資，薪水,核心單字
